claim_text,source_file,supporting_numeric_value,allowed_wording,prohibited_overclaim_avoided,manuscript_section,caveat_included,pass_fail
"The analysis is a public-data, exploratory falsification-oriented reanalysis rather than a prospective clinical study.",reports/40_final_scientific_synthesis_and_publishability_report.md,not_applicable,transparent public EEG analysis; falsification-oriented,positive diagnostic/prognostic narrative,Abstract; Introduction; Methods; Discussion,public data and exploratory framing stated,PASS
"Verified raw EEG was available for ds003522, ds005114, ds003523, and ds003490.",reports/39_final_analysis_package_integrity_report.md; outputs/final_tables/table1_dataset_cohort_overview.csv,ds003522 200 pairs; ds005114 223 pairs; ds003523 221 pairs; ds003490 75 pairs,raw EEG retrieval and MNE checks were verified,dataset completeness beyond verified local files,Methods; Results,ds003490 comparator-only caveat,PASS
Acute mTBI versus control did not survive broad artifact-controlled D1 FDR.,outputs/final_tables/table3_key_results_summary.csv; outputs/qc/final_result_consistency_checks.csv,minimum q=0.7876,did not survive broad artifact-controlled FDR,survived correction,Abstract; Results; Discussion,broad family scope described,PASS
The D1 narrow prior-anchor family remains exploratory and non-confirmatory.,outputs/final_tables/table2_analysis_families_interpretation_rules.csv; reports/28_d1_d3_post_analysis_audit.md,q=0.1320,exploratory transparency family,claim rescue,Results; Discussion,post hoc transparency family stated,PASS
D3 eyes-closed alpha/IAF did not rescue the acute signal.,outputs/final_tables/table3_key_results_summary.csv; reports/28_d1_d3_post_analysis_audit.md,minimum q=0.9149,did not rescue or support the acute signal,alpha/IAF rescue endpoint,Abstract; Results; Discussion,aperiodic-adjusted alpha peak metric unavailable,PASS
"Chronic TBI findings remain separate, exploratory, and batch-sensitive.",outputs/final_tables/table3_key_results_summary.csv; reports/28_d1_d3_post_analysis_audit.md,minimum q=0.3484,exploratory and batch-sensitive chronic branch,chronic TBI proof,Results; Discussion; Limitations,acute and chronic not pooled,PASS
D2 provides partial and inconsistent cross-task support.,reports/35_d2_bounded_falsification_report.md; outputs/d2_cross_task/d2_falsification_summary.csv,overall min q=0.0898; mixed q<0.10 count=0,partial/inconsistent bounded cross-task support,independent confirmation,Abstract; Results; Discussion,Original_ID overlap stated,PASS
The only weak D2 q<0.10 trace was in ds005114 DPX cue-baseline rows.,reports/35_d2_bounded_falsification_report.md; outputs/d2_cross_task/d2_within_dataset_group_effects.csv,minimum q=0.0898; max abs(g)=0.5277,weak/context-specific DPX cue-baseline trace,confirmed replication,Results; Discussion,cue-baseline context-specific; not a robust endpoint,PASS
"DPX task-average, VWM task-average, and mixed-effects group terms did not support robust convergence.",reports/35_d2_bounded_falsification_report.md; outputs/d2_cross_task/d2_falsification_summary.csv; outputs/d2_cross_task/d2_mixed_effects_models.csv,DPX task-average q=0.1524; VWM task-average q=0.4720; mixed group terms below q<0.10=0,did not support robust convergence,cross-task validation,Abstract; Results; Discussion,mixed models numerically fragile for some features,PASS
ds003490 is a comparator and pipeline rehearsal dataset only.,reports/22_ds003490_feature_readiness_report.md; outputs/final_tables/table1_dataset_cohort_overview.csv,75 paired SET/FDT files; MNE readable,comparator/pipeline rehearsal dataset,ds003490 TBI validation,Methods; Results; Discussion,not a TBI dataset,PASS
