claim_id,claim_text,why_allowed_or_blocked,source_evidence,caveat,acceptable_wording,unacceptable_wording
B01,validated biomarker,Blocked because no D1/D3/D2 pattern supports marker validation.,reports/36_integrated_d1_d2_d3_final_decision_report.md; outputs/final/key_result_claims_traceability.csv,"Future prospective validation could change this, but current outputs cannot.",no marker-validation claim is supported,validated biomarker
B02,diagnostic biomarker,Blocked because no diagnostic model or clinically validated threshold exists.,reports/40_final_scientific_synthesis_and_publishability_report.md,The package is not a diagnostic accuracy study.,candidate signal did not support diagnostic use,diagnostic biomarker
B03,predictive biomarker,Blocked because no prospective prediction or outcome model was run.,reports/40_final_scientific_synthesis_and_publishability_report.md,No symptom or outcome prediction endpoint is supported.,not evaluated as a predictive endpoint,predictive biomarker
B04,confirmed EEG signature,Blocked because broad FDR and cross-task convergence did not hold.,reports/28_d1_d3_post_analysis_audit.md; reports/35_d2_bounded_falsification_report.md,A weak/context-specific trace is not confirmation.,initially promising EEG candidate attenuated,confirmed EEG signature
B05,independently replicated signal,Blocked because D2 overlaps by Original_ID and did not provide robust convergence.,reports/35_d2_bounded_falsification_report.md; reports/33_d2_subject_overlap_report.md,Within-subject stability is not independent replication.,bounded cross-task check with overlapping identities,independently replicated signal
B06,D2 validation,Blocked because D2 is partial/inconsistent and not independent.,outputs/d2_cross_task/d2_falsification_summary.csv; reports/35_d2_bounded_falsification_report.md,DPX cue-baseline is a weak exploratory trace only.,D2 bounded falsification/reproducibility check,D2 validation
B07,chronic TBI proof,Blocked because chronic branch is batch-sensitive and secondary.,reports/28_d1_d3_post_analysis_audit.md,Chronic and acute must remain separate.,chronic branch remains exploratory and batch-sensitive,chronic TBI proof
B08,ds003490 TBI validation,"Blocked because ds003490 is a comparator/pipeline rehearsal dataset, not TBI evidence.",reports/22_ds003490_feature_readiness_report.md; outputs/final/d1_d2_d3_evidence_matrix.csv,It may support methods readiness only.,ds003490 comparator/pipeline rehearsal,ds003490 TBI validation
B09,symptom prediction,Blocked because clinical symptom/cognitive prediction was not established in the final package.,reports/40_final_scientific_synthesis_and_publishability_report.md,No supported symptom endpoint belongs in the main claim set.,future studies should collect symptom covariates,predicts symptoms
B10,clinical deployment,Blocked because the current work is exploratory/falsification-oriented and not clinically validated.,reports/36_integrated_d1_d2_d3_final_decision_report.md,"Clinical deployment requires prospective validation, thresholds, and utility evidence.",not ready for clinical use,ready for clinical deployment
B11,black-box classifier rescue,Blocked because the final package explicitly rejects classifier-based significance rescue.,reports/36_integrated_d1_d2_d3_final_decision_report.md; reports/41_reproduction_and_handoff_guide.md,A new preregistered predictive design would be a different study.,no classifier rescue was attempted,classification rescues the signal
