item_id,item_type,title,purpose,source_files,required_panels_or_columns,claim_supported,caveats_shown,already_available_or_needs_generation,priority_level
Figure 1,figure,Dataset and workflow schematic,"Orient readers to ds003522, ds005114, ds003523, ds003490, and the D1/D2/D3 audit flow.",outputs/figures/fig01_dataset_task_overview.png; outputs/final/final_deliverable_manifest.csv,Dataset roles; retrieval verification; D1/D3/D2 flow; ds003490 comparator label,The analysis is a traceable public-data falsification workflow.,ds003490 is comparator only; D2 overlaps by identity.,partly_available_needs_manuscript_polish,high
Figure 2,figure,D1 original-anchor versus artifact-controlled attenuation,Show how the promising D1 anchor attenuates under artifact-trimmed broad FDR.,reports/28_d1_d3_post_analysis_audit.md; outputs/qc/d1_d3_key_effect_trace.csv; outputs/qc/final_result_consistency_checks.csv,Original anchor summary; artifact-trimmed effect sizes; FDR q annotations; prior-anchor caveat,The initially promising signal attenuated and did not survive broad artifact-controlled FDR.,Original exact per-feature rows unavailable; prior anchor is prose-based.,needs_generation_from_existing_outputs,highest
Figure 3,figure,Artifact-branch sample retention and QC,Explain why ptp95 is interpretable as a sensitivity branch and strict 250 uV is not.,outputs/qc/d1_d3_artifact_branch_sample_counts.csv; reports/28_d1_d3_post_analysis_audit.md,Branch by group/state retention; usable epoch fraction; exclusion reasons,Strict artifact-clean filtering was overconservative; ptp95 preserves coverage while trimming epochs.,ptp95 is not gold-standard artifact correction.,needs_generation_from_existing_outputs,high
Figure 4,figure,D3 eyes-closed alpha/IAF non-supportive endpoint,Show that the lower-artifact eyes-closed alpha/IAF branch does not rescue the D1 signal.,outputs/features/d3_ec_alpha_iaf_features.csv; outputs/models/d1_d3_group_models.csv; outputs/qc/final_result_consistency_checks.csv,Posterior alpha/IAF rows; q=0.9149 callout; missing aperiodic-adjusted alpha metric note,D3 does not rescue the acute signal.,Aperiodic-adjusted alpha peak unavailable in generated D3 table.,needs_generation_from_existing_outputs,medium
Figure 5,figure,D2 bounded cross-task falsification,"Display DPX cue-baseline weak trace beside non-supportive DPX task-average, VWM, and mixed-model results.",outputs/d2_cross_task/d2_falsification_summary.csv; outputs/d2_cross_task/d2_within_dataset_group_effects.csv; outputs/d2_cross_task/d2_mixed_effects_models.csv,Cue-baseline q and abs(g); task-average q values; mixed q<0.10 count; identity-overlap caveat,"D2 is partial/inconsistent, not validation.",D2 overlaps by Original_ID and is not independent confirmation.,needs_generation_from_existing_outputs,highest
Figure 6,figure,Evidence matrix and final decision,"Summarize D1, D3, chronic, D2, and ds003490 roles in one decision graphic.",outputs/final/d1_d2_d3_evidence_matrix.csv; outputs/final/key_result_claims_traceability.csv,Evidence stream; support/weakening; manuscript use; forbidden overclaim markers,The only defensible framing is null-leaning reproducibility/falsification.,No marker-validation claim; chronic and ds003490 guardrails.,needs_generation_from_existing_outputs,medium
Table 1,table,Dataset and cohort table,"Document dataset roles, raw EEG counts, task/state, and TBI relevance.",reports/39_final_analysis_package_integrity_report.md; outputs/download_recovery/*.csv,Dataset; role; .set/.fdt counts; MNE checks; task/state; TBI role,Raw data were verified before interpretation.,ds003490 comparator only.,needs_generation_from_existing_outputs,high
Table 2,table,Locked feature and analysis families,Preempt concerns about post hoc flexibility by showing planned families and exploratory transparency families.,outputs/qc/d1_d3_model_family_audit.csv; outputs/d2_cross_task/d2_harmonized_feature_dictionary.csv,Family; comparison; branch/window; n tests; exploratory vs primary status,The analysis distinguishes broad FDR families from exploratory slices.,Narrow prior-anchor family is not confirmatory.,needs_generation_from_existing_outputs,high
Table 3,table,Key D1/D3/D2 results,"Give exact q-values, effect summaries, and interpretation in one manuscript table.",outputs/qc/final_result_consistency_checks.csv; outputs/final/d1_d2_d3_evidence_matrix.csv,Domain; metric; q value; effect summary; interpretation; manuscript use,The overall pattern is null-leaning with a weak D2 trace only.,No validation or clinical marker claim.,needs_generation_from_existing_outputs,highest
Table 4,table,Claims and caveats traceability,Make manuscript claims auditable against final source files.,outputs/final/key_result_claims_traceability.csv; outputs/final/manuscript_claim_allowlist.csv; outputs/final/manuscript_claim_blocklist.csv,Claim; allowed wording; source; caveat; forbidden overclaim,Claims are traceable and conservative.,Blocked claims are explicit.,partly_available_needs_formatting,medium
Table 5,table,Limitations and mitigations,Turn reviewer concerns into transparent limitations with mitigation language.,reports/40_final_scientific_synthesis_and_publishability_report.md; reports/42_manuscript_viability_and_strategy_report.md,Concern; why it matters; mitigation; residual risk,The manuscript foregrounds limitations rather than hiding them.,Original rows unavailable; artifact branch caveats; D2 identity overlap.,needs_generation_from_current_reports,medium
