row_type,label,comparison,artifact_branch,region,feature_name,hedges_g,abs_hedges_g,fdr_q,interpretation,source
family_q,all epochs,acute_mtbi_vs_control,all_epochs,all six regions,alpha/IAF family,,,0.9391447865085067,36 tests corrected together; D3 family is narrower but still combines regions/features; acute/chronic and artifact branches are separate,outputs/qc/d1_d3_model_family_audit.csv
family_q,ptp95 trim,acute_mtbi_vs_control,artifact_trim_ptp95,all six regions,alpha/IAF family,,,0.9149353547832862,36 tests corrected together; D3 family is narrower but still combines regions/features; acute/chronic and artifact branches are separate,outputs/qc/d1_d3_model_family_audit.csv
posterior_effect,occipital absolute_alpha_power,acute_mtbi_vs_control,artifact_trim_ptp95,occipital,absolute_alpha_power,-0.2511181688988714,0.2511181688988714,0.9149353547832862,primary_cleaner_comparison,outputs/models/d1_d3_group_models.csv
posterior_effect,parietal theta_alpha_ratio,acute_mtbi_vs_control,artifact_trim_ptp95,parietal,theta_alpha_ratio,-0.2017644410810775,0.2017644410810775,0.9149353547832862,primary_cleaner_comparison,outputs/models/d1_d3_group_models.csv
posterior_effect,occipital alpha_peak_power,acute_mtbi_vs_control,artifact_trim_ptp95,occipital,alpha_peak_power,-0.189295384620879,0.189295384620879,0.9149353547832862,primary_cleaner_comparison,outputs/models/d1_d3_group_models.csv
posterior_effect,occipital iaf_peak_frequency,acute_mtbi_vs_control,artifact_trim_ptp95,occipital,iaf_peak_frequency,-0.1733740523853582,0.1733740523853582,0.9149353547832862,primary_cleaner_comparison,outputs/models/d1_d3_group_models.csv
posterior_effect,occipital theta_alpha_ratio,acute_mtbi_vs_control,artifact_trim_ptp95,occipital,theta_alpha_ratio,0.0909130733125071,0.0909130733125071,0.9149353547832862,primary_cleaner_comparison,outputs/models/d1_d3_group_models.csv
posterior_effect,parietal alpha_peak_power,acute_mtbi_vs_control,artifact_trim_ptp95,parietal,alpha_peak_power,0.0880985268639059,0.0880985268639059,0.9149353547832862,primary_cleaner_comparison,outputs/models/d1_d3_group_models.csv
posterior_effect,parietal alpha_theta_ratio,acute_mtbi_vs_control,artifact_trim_ptp95,parietal,alpha_theta_ratio,0.0793163682560645,0.0793163682560645,0.9149353547832862,primary_cleaner_comparison,outputs/models/d1_d3_group_models.csv
posterior_effect,parietal relative_alpha_power,acute_mtbi_vs_control,artifact_trim_ptp95,parietal,relative_alpha_power,0.0557276071527912,0.0557276071527912,0.9149353547832862,primary_cleaner_comparison,outputs/models/d1_d3_group_models.csv
